id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,price_usd,volume_24h_usd,percent_change_1h_usd,percent_change_24h_usd,percent_change_7d_usd,market_cap_usd,last_updated_usd
2405,IOST,IOST,iostoken,82,2018-01-16T00:00:00.000Z,[],,12013965608.8475,21000000000,,0.00314546592068,30355613.0889628,0.230918,-2.75414,31.1535,37789519.39485136,2020-03-25T15:53:06.000Z
2830,Seele,SEELE,seele,17,2018-05-31T00:00:00.000Z,[],,699587206.289478,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb1eef147028e9f480dbc5ccaa3277d417d1b85f0'}",0.0504077104943,12538812.1344561,0.0489807,-1.70469,14.1437,35264589.360156134,2020-03-25T15:53:08.000Z
2539,Ren,REN,ren,18,2018-02-21T00:00:00.000Z,[],,851253651.320919,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x408e41876cccdc0f92210600ef50372656052a38'}",0.0410281488799,1502401.92638121,0.611123,0.397728,31.5133,34925361.54095315,2020-03-25T15:53:07.000Z
4279,Swipe,SXP,swipe,12,2019-08-26T00:00:00.000Z,[],,61123111.287249,299987200.287249,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9'}",0.567766779295,9197092.41438256,1.55757,-2.3912,204.975,34703672.03605122,2020-03-25T15:53:14.000Z
2989,STASIS EURO,EURS,stasis-euro,27,2018-07-30T00:00:00.000Z,[],,31979207,31979207,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdb25f211ab05b1c97d595516f45794528a807ad8'}",1.05899634267,795976.524769971,0.152329,0.619148,-0.47024,33865863.25448686,2020-03-25T15:53:09.000Z
2300,WAX,WAXP,wax,20,2017-12-21T00:00:00.000Z,[],,1081381802.4601,3630201757.644,,0.0311948603822,1347827.93200953,0.281294,-0.919796,-19.0578,33733554.3475946,2020-03-25T15:53:08.000Z
1320,Ardor,ARDR,ardor,23,2016-07-23T00:00:00.000Z,[],998999495,998999495,998999495,,0.0330534789121,1718282.016058,-0.604102,-1.22553,8.6009,33020408.741181046,2020-03-25T15:53:04.000Z
1455,Golem,GNT,golem-network-tokens,84,2016-11-18T00:00:00.000Z,[],,980050000,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa74476443119A942dE498590Fe1f2454d7D4aC0d'}",0.0333537463262,3219753.68860369,-1.04582,-2.75447,16.0448,32688339.086992312,2020-03-25T15:53:05.000Z
1732,Numeraire,NMR,numeraire,9,2017-06-23T00:00:00.000Z,[],11000000,2358322.79305952,10987481.7721418,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1776e1f26f98b1a5df9cd347953a26dd3cb46671'}",13.3305731415,1154006.89367288,-0.0836761,3.80265,167.343,31437794.484146502,2020-03-25T15:53:04.000Z
1414,Zcoin,XZC,zcoin,49,2016-10-06T00:00:00.000Z,['Mineable'],21400000,9753093.32977796,21400000,,3.18044377336,34661150.801833,0.0780161,-2.61891,6.72209,31019164.951691262,2020-03-25T15:53:04.000Z
3890,Matic Network,MATIC,matic-network,44,2019-04-28T00:00:00.000Z,[],,2758503686,10000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0'}",0.0111919434376,13496022.5592508,1.19827,-1.47122,30.5626,30873017.226123113,2020-03-25T15:53:13.000Z
4899,Yap Stone,YAP,yap-stone,14,2019-11-09T00:00:00.000Z,[],,150000000,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': ''}",0.203691343461,10847091.7541652,-0.190968,1.37116,18.0398,30553701.519150004,2020-03-25T15:53:15.000Z
2441,Molecular Future,MOF,molecular-future,14,2018-01-20T00:00:00.000Z,[],,84892672.5284934,100000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x653430560be843c4a3d143d0110e896c2ab8ac0d'}",0.359161024344,10163784.7103246,0.093169,-5.24882,1.62692,30490139.22463344,2020-03-25T15:53:07.000Z
3155,Quant,QNT,quant,18,2018-08-10T00:00:00.000Z,[],,12072738,14612493.0808262,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4a220e6096b25eadb88358cb44068a3248254675'}",2.50963875778,2212741.94644476,0.313158,-0.834522,26.118,30298211.1973234,2020-03-25T15:53:12.000Z
2299,aelf,ELF,aelf,73,2017-12-21T00:00:00.000Z,[],1000000000,544480199.986466,879999999.986466,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbf2179859fc6d5bee9bf9158632dc51678a4100e'}",0.0554489885178,26642920.0966101,0.222851,-1.39622,16.5911,30190876.357219003,2020-03-25T15:53:07.000Z
1700,Aeternity,AE,aeternity,45,2017-06-01T00:00:00.000Z,['Mineable'],,305294280.5,351115224.49932,,0.0977161352939,10457727.0001403,0.212656,-4.1458,10.4731,29832177.217791855,2020-03-25T15:53:05.000Z
4847,Blockstack,STX,blockstack,5,2019-10-28T00:00:00.000Z,[],2048913388,356719546.170591,590642912.170591,,0.0834516154576,215806.071934885,0.172712,-1.72614,27.427,29768822.39323775,2020-03-25T15:53:15.000Z
